termID,term,program,PNAMP questions/comments,orginalField,CollectionMethod,Is method data collection link correct (Y/N)? If no add comment ,AnalysisMethod,Is method data analysis link correct (Y/N)? If no add comment 
53,PctBdrk,NRSA,,PCT_BDRK,www.monitoringresources.org/Document/Method/Details/6874,,www.monitoringresources.org/Document/Method/Details/7011,
54,PctFines2,AREMP,,pcnt_fines_tran2,www.monitoringresources.org/Document/Method/Details/6797,,www.monitoringresources.org/Document/Method/Details/6977,
54,PctFines2,AIM,,PCT_FN,www.monitoringresources.org/Document/Method/Details/6862,,www.monitoringresources.org/Document/Method/Details/6977,
54,PctFines2,NewAIM,,PctFinesLessThan2mm,NA,,NA,
54,PctFines2,NRSA,,PCT_SAFN,www.monitoringresources.org/Document/Method/Details/6874,,www.monitoringresources.org/Document/Method/Details/7011,
55,PctFines6,AREMP,,pect_fines_tran6,www.monitoringresources.org/Document/Method/Details/6797,,www.monitoringresources.org/Document/Method/Details/6977,
55,PctFines6,AIM,,PCT_FN6,www.monitoringresources.org/Document/Method/Details/6801,,www.monitoringresources.org/Document/Method/Details/6977,
55,PctFines6,NewAIM,,PctFinesLessThan6mm,NA,,NA,
56,PoolTailFines2,AREMP,,pool_fines,www.monitoringresources.org/Document/Method/Details/6798,,www.monitoringresources.org/Document/Method/Details/868,
56,PoolTailFines2,AIM,,PL_TL_FN,www.monitoringresources.org/Document/Method/Details/6862,,www.monitoringresources.org/Document/Method/Details/868,
56,PoolTailFines2,PIBO,,PTFines2,www.monitoringresources.org/Document/Method/Details/6862,,www.monitoringresources.org/Document/Method/Details/868,
57,PoolTailFines6,AIM,,PL_TL_FN6,www.monitoringresources.org/Document/Method/Details/6862,,www.monitoringresources.org/Document/Method/Details/868,
57,PoolTailFines6,PIBO,,PTFines6,www.monitoringresources.org/Document/Method/Details/6862,,www.monitoringresources.org/Document/Method/Details/868,
58,Conductivity,NRSA,,TSS,www.monitoringresources.org/Document/Method/Details/3792,,tbd,
58,Conductivity,PIBO,,Cond,www.monitoringresources.org/Document/Method/Details/61,,tbd,
59,pH,AIM,,pH,www.monitoringresources.org/Document/Method/Details/6673,,www.monitoringresources.org/Document/Method/Details/6673,
60,SpecificConductance,AIM,,SpecificConductance,www.monitoringresources.org/Document/Method/Details/6673,,www.monitoringresources.org/Document/Method/Details/6673,
60,SpecificConductance,NRSA,,COND,www.monitoringresources.org/Document/Method/Details/72,,tbd,
61,TotalNitrogen,AIM,,TotalNitrogen,www.monitoringresources.org/Document/Method/Details/6673,,tbd,
61,TotalNitrogen,NRSA,,NTL,www.monitoringresources.org/Document/Method/Details/548,,tbd,
62,TotalPhosphorous,AIM,,TotalPhosphorous,www.monitoringresources.org/Document/Method/Details/6673,,tbd,
62,TotalPhosphorous,NRSA,,PTL,www.monitoringresources.org/Document/Method/Details/548,,tbd,
63,Turbidity,AIM,,TRBDTY,www.monitoringresources.org/Document/Method/Details/7012,,NA,
63,Turbidity,NRSA,,TURB,www.monitoringresources.org/Document/Method/Details/7016,,tbd,
50,NA,AREMP,,NA,www.monitoringresources.org/Document/Method/Details/6797,,NA,
52,NA,AREMP,,NA,www.monitoringresources.org/Document/Method/Details/6797,,NA,
52,NA,NRSA,,NA,www.monitoringresources.org/Document/Method/Details/6874,,NA,
