"SITE_ID","YEAR","VISIT_NO","SAMPLED","DATE_COL","DATECHEM","TEAM_ID","SAMP_LOC","PHSTVL","PHSTVLF","COND","CONDF","ANC","ANCF","TURB","TURBF","TSS","TSSF","COLOR","COLORF","DOC","DOCF","DIC","DICF","PTL","PTLF","SE","SEF","CA","CAF","MG","MGF","NA","NAF","K","KF","NH4","NH4F","SO4","SO4F","NO3","NO3F","CL","CLF","NTL","NTLF","ZN","ZNF","SIO2","SIO2F","H","OH","HCO3","CO3","ALKCALC","CATSUM","ANSUM","ANDEF","SOBC","IONSTR","BALANCE","ORGION","CONCAL","CONDHO","DAY_SHIP","COM_LAB","COM_FLD","COM_IM" 
"WAZP99-0605",2000,1,"Yes",06/07/2000,06/07/2000,"1","F",8.61,"H6",863,"H9",3668.4,"H8",0.307,"H6",9.8,"H218",5,"H6",1.45," ",11.88,"H5",61," ",1.0,"H447B",3140.7,"H215",1442.7,"H240",3547.8,"H237",39.4,"H245",0.7," ",317.7,"H8",0.0,"H8",4382.6,"H56",174," ",13.0,"H505",30.09,"H12",0.002,4.074,965.394,36.874,1006.31,8171.13,5706.7,2464.43,8170.54,0.014,17.76,14.48,850.03,789.11,5," ","Cooled instream. Placed on ice in truck. Collected at 11am."," " 
"WAZP99-0615",2000,1,"Yes",06/17/2000,06/17/2000,"1","X",7.35," ",103," ",952.8," ",0.595," ",46.5,"H208",8,"H4",1.52," ",12.06,"H6",109,"H40",1.0,"H437B",460.2,"H205",397.1,"H230",158.9,"H227",20.6,"H235",0.7," ",50.2," ",0.0," ",16.6," ",363,"H40",2.5,"H495B",25.24,"H10",0.045,0.224,911.61,1.913,913.64,1037.63,980.56,57.07,1036.88,0.002,2.83,15,103.99,99.28,3,"pH syringe tip broken in shipping - sample  may have been compromised","CAN'T KEEP LABEL ON CUBITAINER"," " 
"WAZP99-0619",2000,1,"Yes",06/19/2000,06/19/2000,"1","F",7.98," ",490," ",4657.7," ",63.9," ",105.6,"H207",9," ",4.06," ",47.14,"H4",203,"H38",1.0,"H435B",2224.5,"H203",2009.6,"H228",912.9,"H225",85.2,"H233",3.7," ",694.1," ",10.7," ",366.1," ",684,"H38",2.5,"H493B",20.00,"H8",0.01,0.955,3817.996,34.186,3852.87,5235.8,4924.1,311.7,5232.25,0.013,3.07,40.41,547.74,493.23,2," ","Water quite turbid: samples immediately moved to ice chest and placed on ice."," " 
"WAZP99-0632",2001,1,"Yes",05/22/2001,05/22/2001,"1","K",8.73," ",280,"H8",2602.1,"H8",20.2," ",22,"H15",5," ",2.01," ",30.54," ",45,"H78",0.0,"H254",2031.1,"H280",777.9,"H230",141.8,"H227",19.6,"H227",1.5," ",327.7,"H8",4.3,"H8",130.6,"H8",265,"H78",1.0,"H312",7.10,"H8",0.002,5.37,2470.304,124.385,2599.94,2971.6,3062.64,-91.04,2970.42,0.008,-1.51,20.07,326.75,296.82,2," "," "," " 
"WAZP99-0639",2001,1,"Yes",05/31/2001,05/31/2001,"1","F",7.60,"H4",113," ",1025.9," ",4.38,"H4",1,"H18",15,"H4",2.06," ",12.18,"H6",92," ",0.0,"H245",566.3,"H271",446.1,"H221",136.1,"H218",21.1,"H218",0.4," ",101.0,"H8",0.0,"H8",33.3,"H8",91," ",1.0,"H303",24.51," ",0.025,0.398,958.218,3.577,962.11,1170.07,1096.45,73.61,1169.62,0.003,3.25,20.42,119.31,112.22,4," "," "," " 
"WAZP99-0645",2001,1,"Yes",06/13/2001,06/13/2001,"1","B",8.26,"H5",365," ",3660.0," ",7.56,"H5",39.4,"H15",10,"H5",2.88," ",43.10,"H6",161,"H29",0.0,"H234",2332.6,"H258",798.6,"H292",858.8,"H225",18.6,"H224",0.4," ",202.8," ",2.1," ",129.7," ",285,"H29",6.0,"H290",26.96," ",0.005,1.82,3515.19,59.975,3576.75,4008.99,3911.66,97.33,4008.59,0.009,1.23,28.71,412.67,381.72,3," "," "," " 
"WAZP99-0648",2001,1,"Yes",06/01/2001,06/01/2001,"1","E",7.77," ",159," ",1627.8," ",10.4," ",15," ",10," ",0.67," ",19.76,"H5",62," ",0.0,"H244",637.5,"H270",617.4,"H220",391.1,"H217",82.4,"H217",1.8," ",18.1," ",3.6," ",38.6," ",155," ",1.0,"H302",26.74," ",0.017,0.589,1580.54,8.726,1589.74,1730.14,1650.18,79.96,1728.39,0.004,2.37,6.66,172.12,165.1,3," "," "," " 
"WAZP99-0649",2001,1,"Yes",05/25/2001,05/25/2001,"1","K",8.83,"H4",529," ",3706.6," ",2.85,"H4",6.2," ",10,"H4",3.60," ",43.04,"H4",17,"H75",0.0,"H251",1149.9,"H277",1484.9,"H227",2929.0,"H244",220.5,"H243",1.3," ",739.3," ",4.3," ",981.6," ",410,"H75",14.0,"H309",23.99," ",0.001,6.761,3462.369,219.479,3688.43,5785.27,5413.78,371.49,5784.31,0.011,3.32,35.96,615.02,546.03,4," "," "," " 
"WAZP99-0653",2001,1,"Yes",06/28/2001,06/28/2001,"1","K",8.17,"H5",433," ",3684.9," ",0.959,"H5",3.7," ",10,"H5",1.36," ",44.27,"H5",2," ",1.0,"H228",2655.3,"H243",812.0,"H216",1250.7,"H214",61.7,"H209",0.3," ",568.8,"H34",2.1,"H25",407.0,"H34",110," ",6.0,"H275",11.58,"H8",0.007,1.479,3606.201,50.011,3657.45,4780.02,4635.65,144.37,4779.75,0.011,1.53,13.55,509.09,460.31,2," "," "," " 
"WAZP99-0669",2001,1,"Yes",06/27/2001,06/27/2001,"1","F",8.34," ",270," ",2755.5," ",1.19," ",5.2," ",5," ",2.63,"H15",34.46," ",72," ",0.0,"H229",2245.6,"H244",402.6,"H216",152.5,"H211",41.9,"H210",0.6," ",73.9,"H26",2.9,"H26",55.8,"H26",210," ",4.0,"H276",28.55,"H9",0.005,2.188,2811.495,57.671,2871.18,2843.33,3003.97,-160.63,2842.75,0.007,-2.75,26.23,305.57,286.44,2," "," "," " 
