"Survey","Indicator","Data","Metadata","web1","web2"
"Rivers and Streams 2008-2009","Physical Habitat","NRSA 0809 Physical Habitat Larger Set of Metrics - Data (CSV) (csv)

      
    (3.52 MB)","NRSA 0809 Physical Habitat Larger Set of Metrics - Metadata (TXT) (txt)

      
    (21.1 KB)","/sites/default/files/2015-09/phabmed.csv","/sites/default/files/2015-09/phabmed.txt"
"Rivers and Streams 2013-2014","Physical Habitat","NRSA 1314 Physical Habitat Larger Set of Metrics - Data (CSV) (csv)","NRSA 1314 Physical Habitat Larger Set of Metrics - Metadata (TXT) (txt)","/sites/default/files/2019-04/nrsa1314_phabmed_04232019.csv","/sites/default/files/2019-04/nrsa1314_phabmed_meta_04292019.txt"
"Rivers and Streams 2018-2019","Physical Habitat","NRSA 1819 Physical Habitat Larger Set of Metrics - Data (CSV) (csv)","NRSA 1819 Physical Habitat Larger Set of Metrics - Metadata (TXT) (txt)","/sites/default/files/2021-04/nrsa_1819_physical_habitat_larger_set_of_metrics_-_data.csv","/sites/default/files/2021-04/nrsa_1819_physical_habitat_larger_set_of_metrics_-_metadata.txt"
"Rivers and Streams 2008-2009","Water Chemistry","NRSA 0809 Water Chemistry Indicator Values and Condition Class - Data (CSV) (csv)

      
    (234.52 KB)","NRSA 0809 Water Chemistry Indicator Values and Condition Class - Metadata (TXT) (txt)

      
    (1.05 KB)","/sites/default/files/2015-09/chemcond.csv","/sites/default/files/2015-09/chemcond.txt"
"Rivers and Streams 2013-2014","Water Chemistry","NRSA 1314 Water Chemistry Indicator Values - Data (CSV) (csv)","NRSA 1314 Water Chemistry Indicator Values - Metadata (TXT) (txt)","/sites/default/files/2019-04/nrsa1314_chem_04232019.csv","/sites/default/files/2019-04/nrsa1314_chem_meta_04292019.txt"
"Rivers and Streams 2018-2019","Water Chemistry","NRSA 1819 Water Chemistry_CHLA - Data (CSV) (csv)","NRSA 1819 Water Chemistry_CHLA - Metadata (TXT) (txt)","/sites/default/files/2021-04/nrsa_1819_water_chemistry_chla_-_data.csv","/sites/default/files/2021-04/nrsa_1819_water_chemistry_chla_-_metadata.txt"
"Rivers and Streams 2008-2009","Site Information","NRSA 0809 Site Information - Data (CSV) (csv)

      
    (530.64 KB)","NRSA 0809 Site Information - Metadata (TXT) (txt)

      
    (2.23 KB)","/sites/default/files/2015-09/siteinfo_0.csv","/sites/default/files/2015-09/siteinfo_0.txt"
"Rivers and Streams 2013-2014","Site Information","NRSA 1314 Site Information - Data (CSV) (csv)","NRSA 1314 Site Information - Metadata (TXT) (txt)","/sites/default/files/2019-04/nrsa1314_siteinformation_wide_04292019.csv","/sites/default/files/2019-04/nrsa1314_sitesuids_wide_meta_04292019.txt"
"Rivers and Streams 2018-2019","Site Information","NRSA_1819_Site_Information (csv)","NRSA_1819_Site_Information_Metadata (txt)","/system/files/other-files/2023-01/NRSA_1819_SiteInfo.csv","/system/files/other-files/2023-01/NRSA18_19_Site_Information_Metadata.txt"
