"UNIQUE_ID","DSGN_CYCLE","COMID","SITE_ID"
"NRS_AZ-10041","2008-09","20493383","FW08AZ005"
"NRS_AZ-10059","2008-09","21389162","FW08AZ004"
"NRS_AZ-10081","2008-09","20735483","FW08AZ007"
"NRS_AZ-10174","2008-09","20495087","FW08AZ006"
"NRS_AZ-10311","2008-09","22428506","FW08AZ003"
"NRS_AZ-10422","2008-09","20736507","FW08AZ009"
"NRS_AZ-10426","2008-09","20736341","FW08AZ013"
"NRS_AZ-10432","2008-09","15890430","FW08AZ019"
"NRS_AZ-10435","2008-09","21322721","FW08AZ022"
"NRS_AZ-10437","2008-09","21753962","FW08AZ024"
"NRS_AZ-10513","2008-09","22430976","FW08AZ100"
"NRS_AZ-10520","2008-09","3078075","FW08AZ107"
"NRS_AZ-10522","2008-09","20720286","FW08AZ109"
"NRS_AZ-10547","2008-09","21331223","FW08AZ134"
"NRS_AZ-10552","2008-09","21357181","FW08AZ139"
"NRS_AZ-10568","2008-09","21324283","FW08AZ155"
"NRS_AR-10167","2008-09","771616","FW08AR218"
"NRS_AR-10172","2008-09","7755260","FW08AR236"
"NRS_AR-10179","2008-09","7789884","FW08AR255"
"NRS_AZ-10441","2008-09","20435296","FW08AZ028"
"NRS_AZ-10447","2008-09","20717100","FW08AZ034"
"NRS_AZ-10457","2008-09","20412668","FW08AZ044"
"NRS_AZ-10458","2008-09","20720088","FW08AZ045"
"NRS_AZ-10461","2008-09","20451366","FW08AZ048"
"NRS_AZ-10463","2008-09","4916344","FW08AZ050"
"NRS_AZ-10470","2008-09","20736493","FW08AZ057"
"NRS_AZ-10584","2008-09","21351925","FW08AZ171"
"NRS_AZ-10607","2008-09","15905101","FW08AZ194"
"NRS_AZ-10612","2008-09","21754872","FW08AZ260"
"NRS_CA-10003","2008-09","21609805","FW08CA009"
"NRS_CA-10087","2008-09","8232508","FW08CA008"
"NRS_CA-10124","2008-09","15022523","FW08CA004"
"NRS_CA-10150","2008-09","20332896","FW08CA015"
