"CategoryID","TermID","Table","ODMTable","measurementType","measurementTerm","ODM","Description","Examples","DataType"
1,1,"RecordLevel","Sources",NA,"datasetID","SourceID","An identifier for the set of data. May be a global unique identifier or an identifier specific to a collection or institution.","The ScienceBase ID number of the dataset","Integer"
1,2,"RecordLevel","Sources",NA,"type","SourcesDescription","The nature or genre of the resource.","This will be ""Water Quality and Physical Habitat Structure"" for all values in this data set.","String"
1,5,"RecordLevel","Sources",NA,"bibilographicCititation","Citation","A bibliographic reference for the resource as a statement indicating how this record should be cited (attributed) when used.",NA,"String"
1,6,"RecordLevel","Sources",NA,"InstitutionID","Organization","An identifier for the institution having custody of the object(s) or information referred to in the record.","Example) http://biocol.org/urn:lsid:biocol.org:col:34777, http://grbio.org/cool/km06-gtbn","String"
