"TermID","Term","Description","Examples","DataType","PrimaryKey","ForeginKey","ControlledVocabulary","ControlledVocabularyAPI","MinimamPossibleValue","MaximamPossibleValue","DarwinCoreTerm","DarwinCoreClass","ODM2Term","ODMTable"
1,"resultsID","Unique integer identifier for each
data value. Generated when the datasets are combind","5","Interger","X",NA,NA,NA,"NA","NA",NA,"MeasurementOrFact",NA,"Results"
2,"resultTypeCV","The nature of the measurement, fact, characteristic, or assertion. Recommended best practice is to use a controlled vocabulary.","tail length, ""temperature"", ""trap line length"", ""survey area"", ""trap type""","String",NA,"X","http://vocabulary.odm2.org/resulttype/","http://vocabulary.odm2.org/api/v1/resulttype/?format=skos","NA","NA",NA,"MeasurementOrFact",NA,"Results"
3,"measurementID","An identifier for the MeasurementOrFact (information pertaining to measurements, facts, characteristics, or assertions). May be a global unique identifier or an identifier specific to the data set.",NA,"Numeric",NA,"X","https://github.com/rascully/Stream-Monitoring-Data-Exchange-Specifications/blob/master/Tables/ControlledVocabulary.csv",NA,"NA","NA","measurementID","MeasurementOrFact","VariableID","Results"
4,"measurementMethod","A description of or reference to (publication, URI) the method or protocol used to determine the measurement, fact, characteristic, or assertion.","URL of the MonitoringResources.rog field and if avilable calcuation method","String",NA,"X",NA,"https://www.monitoringresources.org/api/v1/methods/","NA","NA","measurementMethod","MeasurementOrFact",NA,"Results"
5,"measurementRemarks","Comments or notes accompanying the MeasurementOrFact.","tip of tail missing","String",NA,NA,NA,NA,"NA","NA","measurementRemarks","MeasurementOrFact",NA,"Results"
6,"measurementValue","The value of the measurement, fact, characteristic, or assertion.","45, ""20"", ""1"", ""14.5"", ""UV-light""","Double",NA,NA,NA,NA,"NA","NA","measurementValue","MeasurementOrFact","dataValue","Results"
NA,"measurementType","A field name for the MeasurementOrFact. Term from the stream habitat controlled vocabulary.","Grad, WetWidth, ReachLen","String",NA,NA,NA,NA,"0","0","measurementType","MeasurementOrFact",NA,"Results"
NA,"measurementUnit","The units associated with the measurementValue. Recommended best practice is to use the International System of Units (SI).","mm, ""C"", ""km"", ""ha""","String",NA,NA,NA,NA,"0","0","measurementUnit","MeasurementOrFact",NA,"Results"
