"entity","termID","term","definition","dataType","minrange","maxrange","units","sourcedefinition","unboundeddefinition","enumerateddomain","NAorBlankcell","NAdefinition","examples","standard","noteAndConventions"
"RecordLevel",100,"datasetID","A unique identifier assigned to the originating source data's program.","Integer",NA,NA,NA,"Producer defined",NA,"y",NA,NA,"2; 4","Darwin Core","generated when the datasets are combined into the single dataset"
"RecordLevel",101,"bibilographicCitation","A bibliographic reference for the resource as a statement indicating how this record should be cited (attributed) when used.","String",NA,NA,NA,"Producer defined","Unbounded list of alphanumeric text",NA,"blank cell","There is no formal citation for this dataset.",NA,"Darwin Core",""
"RecordLevel",102,"datasetLink","A URL identifier for the collection or dataset from which the record was derived. The source location for the originating source data or program website.","String",NA,NA,NA,"Producer defined","Unbounded list of alphanumeric text",NA,NA,"No URL is available to access the dataset directly.","https://www.epa.gov/national-aquatic-resource-surveys","Producer defined",""
"RecordLevel",103,"datasetName","The name of the originating data set from which the record was derived.","String",NA,NA,NA,"Producer defined","Unbounded list of text",NA,NA,"There is no singular name assigned to the source dataset","EPA NARS 2018 Rivers and Streams dataset","Darwin Core",""
"RecordLevel",104,"institutionCode","The name (or acronym) in use by the institution having custody of the object(s) or information referred to in the record.","String",NA,NA,NA,"Producer defined",NA,"y",NA,NA,"BLM; EPA; USFS","Darwin Core",""
"RecordLevel",105,"metadataID","A URL identifier for the metadata for the originating source dataset or note how to access metadata.","String",NA,NA,NA,"Producer defined","Unbounded list of alphanumeric text",NA,NA,NA,NA,"ODM2",""
"RecordLevel",106,"preProcessingCode","URL identifier for access to the code used to pre-process (download, standardize and tidy) the data sets before integration into the destination dataset.","String",NA,NA,NA,"Producer defined","Unbounded list of alphanumeric text",NA,"blank cell","Pre-processing code was not used for this dataset.",NA,"Producer defined",""
"RecordLevel",107,"projectCode","The acronym of the name assigned by the Institution (project leader or principal investigator) to the project, from which the source data originates from.","String",NA,NA,NA,"Producer defined",NA,"y",NA,NA,"PIBO; AIM","Producer defined",""
"RecordLevel",108,"projectName","The name assigned by the Institution (project leader or principal investigator) to the project, from which the source data originates from.","String",NA,NA,NA,"Producer defined","Unbounded list of text",NA,NA,NA,"USFS PacFish/InFish Biological Opinion Monitoring Program","ODM2",""
