"entity","termID","term","definition","dataType","minrange","maxrange","units","standard"
"Location",100,"datasetID","A unique identifier assigned to the originating source data's program. Value generated during data integration.","Integer","","","","Darwin Core"
"Location",200,"locationID","An identifier for the set of location information. Global unique identifier generated during data integration.","Integer","1","12179","","Darwin Core"
"Location",201,"verbatimLocationID","The verbatim location ID from the originating source dataset assigned by the monitoring program.","String","","","","Producer defined"
"Location",202,"latitude","The geographic latitude (WGS84) of the geographic center of a location in decimal degrees.","Float","26.625","71.2686","decimal degrees","Darwin Core"
"Location",203,"longitude","The geographic longitude (WGS84) of the geographic center of a location in decimal degrees.","Float","-163.742308","-67.2406","decimal degrees","Darwin Core"
"Location",204,"locationRemarks","Comments or notes about the Location. The location along the reach where geographic coordinates were obtained.","String","","","","Darwin Core"
"Location",205,"siteSelectionType","The type of site selection used according to the program. Assigned categories Random or Targeted.","String","","","","Producer defined"
"Location",206,"waterBody","The name of the water body in which the Location occurs.","String","","","","Darwin Core"
