TERM	QUALIFIED TERM	DESCRIPTION	EXAMPLES	LINK	DATA TYPE	REQUIRED
measurementID	http://rs.tdwg.org/dwc/terms/measurementID	An identifier for the MeasurementOrFact (information pertaining to measurements, facts, characteristics, or assertions). May be a global unique identifier or an identifier specific to the data set.		http://rs.tdwg.org/dwc/terms/index.htm#measurementID	string	false
measurementType	http://rs.tdwg.org/dwc/terms/measurementType	The nature of the measurement, fact, characteristic, or assertion. Recommended best practice is to use a controlled vocabulary.	"tail length", "temperature", "trap line length", "survey area", "trap type"	http://rs.tdwg.org/dwc/terms/index.htm#measurementType	string	false
measurementValue	http://rs.tdwg.org/dwc/terms/measurementValue	The value of the measurement, fact, characteristic, or assertion.	"45", "20", "1", "14.5", "UV-light"	http://rs.tdwg.org/dwc/terms/index.htm#measurementValue	string	false
measurementAccuracy	http://rs.tdwg.org/dwc/terms/measurementAccuracy	The description of the potential error associated with the measurementValue.	"0.01", "normal distribution with variation of 2 m"	http://rs.tdwg.org/dwc/terms/index.htm#measurementAccuracy	string	false
measurementUnit	http://rs.tdwg.org/dwc/terms/measurementUnit	The units associated with the measurementValue. Recommended best practice is to use the International System of Units (SI).	"mm", "C", "km", "ha"	http://rs.tdwg.org/dwc/terms/index.htm#measurementUnit	string	false
measurementDeterminedDate	http://rs.tdwg.org/dwc/terms/measurementDeterminedDate	The date on which the MeasurementOrFact was made. Recommended best practice is to use an encoding scheme, such as ISO 8601:2004(E).	"1963-03-08T14:07-0600", "2009-02-20T08:40Z", "1809-02-12", "1906-06", "1971", "2007-03-01T13:00:00Z/2008-05-11T15:30:00Z", "2007-11-13/15"	http://rs.tdwg.org/dwc/terms/index.htm#measurementDeterminedDate	string	false
measurementDeterminedBy	http://rs.tdwg.org/dwc/terms/measurementDeterminedBy	A list (concatenated and separated) of names of people, groups, or organizations who determined the value of the MeasurementOrFact.	"Javier de la Torre", "Julie Woodruff; Eileen Lacey"	http://rs.tdwg.org/dwc/terms/index.htm#measurementDeterminedBy	string	false
measurementMethod	http://rs.tdwg.org/dwc/terms/measurementMethod	A description of or reference to (publication, URI) the method or protocol used to determine the measurement, fact, characteristic, or assertion.	"minimum convex polygon around burrow entrances" for a home range area, "barometric altimeter" for an elevation	http://rs.tdwg.org/dwc/terms/index.htm#measurementMethod	string	false
measurementRemarks	http://rs.tdwg.org/dwc/terms/measurementRemarks	Comments or notes accompanying the MeasurementOrFact.	tip of tail missing	http://rs.tdwg.org/dwc/terms/index.htm#measurementRemarks	string	false
