locationID,latitude,longitude,waterBody,projectCode
3843,42.97978705,-91.67293625,NA,NRSA
3845,40.82880459,-95.20484547,NA,NRSA
3846,42.9935657,-95.07848105,NA,NRSA
3848,42.7025234,-91.92311051,NA,NRSA
3849,42.76793004,-92.3558993,NA,NRSA
3851,40.67346652,-95.31217703,NA,NRSA
3852,43.13852294,-91.60842526,NA,NRSA
3853,42.21851513,-92.74238821,NA,NRSA
3855,40.87133759,-94.91030404,NA,NRSA
3856,42.56080476,-90.94028977,NA,NRSA
3857,40.87373291,-95.597704,NA,NRSA
3858,41.37959378,-94.89794017,NA,NRSA
3859,41.85046039,-94.0261349,NA,NRSA
3861,42.40438954,-95.87348016,NA,NRSA
3863,43.35914965,-93.86842916,NA,NRSA
3865,42.19419472,-91.39223307,NA,NRSA
3866,42.80455827,-91.53054161,NA,NRSA
3867,41.587557,-94.39743921,NA,NRSA
3869,41.21823045,-93.86450662,NA,NRSA
3871,42.61752156,-91.28994821,NA,NRSA
3872,40.68790173,-93.96833011,NA,NRSA
4527,39.01349127,-85.50106931,NA,NRSA
4528,39.83419007,-86.68450208,NA,NRSA
4541,44.59081994,-85.07814424,NA,NRSA
4542,44.61247157,-84.45743108,NA,NRSA
4540,44.84533027,-84.83292083,NA,NRSA
4062,43.71939974,-95.04621986,NA,NRSA
4063,45.12479458,-93.99623578,NA,NRSA
4064,43.76481527,-94.0407091,NA,NRSA
4066,44.85127077,-93.98283292,NA,NRSA
4067,45.19240062,-94.28959125,NA,NRSA
4068,44.04150615,-92.33873681,NA,NRSA
3637,33.88132106,-93.49051167,NA,NRSA
3643,35.76862941,-93.1659807,NA,NRSA
3635,34.98609295,-93.60350937,NA,NRSA
3633,34.50655745,-94.18862207,NA,NRSA
3636,34.42724497,-92.38033902,NA,NRSA
3805,30.51884624,-87.29779287,NA,NRSA
3806,30.84547115,-86.46667052,NA,NRSA
3807,30.29491629,-85.29384067,NA,NRSA
3808,30.18840677,-83.60818538,NA,NRSA
3820,34.24605238,-84.68608632,NA,NRSA
3822,34.52674768,-84.09111904,NA,NRSA
3825,34.06954656,-84.53634847,NA,NRSA
3826,33.92673274,-85.05046408,NA,NRSA
3870,42.913511,-94.05752706,NA,NRSA
3998,38.44066919,-76.69705831,NA,NRSA
3999,38.82802711,-76.98111233,NA,NRSA
4001,39.6484796,-77.18088663,NA,NRSA
4003,39.59669875,-79.08394335,NA,NRSA
4000,39.64269107,-78.4987201,NA,NRSA
4002,38.27006247,-75.27663014,NA,NRSA
4117,46.93088969,-110.8698447,NA,NRSA
4118,45.14160685,-109.039941,NA,NRSA
4120,45.90723297,-113.4809371,NA,NRSA
4122,46.68544062,-114.5589588,NA,NRSA
4123,46.25086868,-109.769586,NA,NRSA
4127,47.08177722,-111.5943272,NA,NRSA
4131,48.00504903,-116.0016672,NA,NRSA
4132,45.83768591,-110.045797,NA,NRSA
4133,46.56603822,-107.9657348,NA,NRSA
4134,46.16676666,-110.5490957,NA,NRSA
4140,47.0151948,-108.1650054,NA,NRSA
4143,45.53162435,-112.1075066,NA,NRSA
4146,46.15890312,-112.9050686,NA,NRSA
4147,46.5855868,-111.2657088,NA,NRSA
4150,45.03420574,-107.5853158,NA,NRSA
4153,47.11536955,-111.3767773,NA,NRSA
4126,45.91293536,-108.4087977,NA,NRSA
4135,44.97626082,-112.9965913,NA,NRSA
4137,47.83706182,-114.7376506,NA,NRSA
4138,46.45774768,-110.3713081,NA,NRSA
4142,46.11059188,-106.4503921,NA,NRSA
4119,47.49900796,-110.7164261,NA,NRSA
4292,40.81493935,-75.04027188,NA,NRSA
4293,41.04211949,-74.04730262,NA,NRSA
4294,41.11045859,-74.84292471,NA,NRSA
4296,41.09547258,-74.1483308,NA,NRSA
4297,40.62461827,-74.47443725,NA,NRSA
3993,42.09049853,-71.29759953,NA,NRSA
4359,44.58850577,-74.80835367,NA,NRSA
4360,42.96006993,-75.78860842,NA,NRSA
4361,44.73815363,-73.47659672,NA,NRSA
4362,42.60527812,-73.47988246,NA,NRSA
4365,44.31879193,-74.52344171,NA,NRSA
4366,42.50112044,-74.43890932,NA,NRSA
4367,41.56286652,-73.84559791,NA,NRSA
4368,42.93689353,-76.61918112,NA,NRSA
4369,43.00710742,-76.68105171,NA,NRSA
4370,44.86450288,-74.12799793,NA,NRSA
4371,43.53157897,-74.55172988,NA,NRSA
4375,42.90824199,-75.47830277,NA,NRSA
4376,43.01566804,-76.85463864,NA,NRSA
4378,42.74126609,-76.47440336,NA,NRSA
3786,41.63414725,-72.74883502,NA,NRSA
4012,45.94507318,-69.84798955,NA,NRSA
